,match_id,year,stage_name,equipe,gols_feitos,gols_sofridos,vitoria,empate,mando
0,M-1930-01,1930,group stage,France,4,1,True,False,Casa
1,M-1930-02,1930,group stage,United States,3,0,True,False,Casa
2,M-1930-03,1930,group stage,Yugoslavia,2,1,True,False,Casa
3,M-1930-04,1930,group stage,Romania,3,1,True,False,Casa
4,M-1930-05,1930,group stage,Argentina,1,0,True,False,Casa
5,M-1930-06,1930,group stage,Chile,3,0,True,False,Casa
6,M-1930-07,1930,group stage,Yugoslavia,4,0,True,False,Casa
7,M-1930-08,1930,group stage,United States,3,0,True,False,Casa
8,M-1930-09,1930,group stage,Uruguay,1,0,True,False,Casa
9,M-1930-10,1930,group stage,Chile,1,0,True,False,Casa
10,M-1930-11,1930,group stage,Argentina,6,3,True,False,Casa
11,M-1930-12,1930,group stage,Brazil,4,0,True,False,Casa
12,M-1930-13,1930,group stage,Paraguay,1,0,True,False,Casa
13,M-1930-14,1930,group stage,Uruguay,4,0,True,False,Casa
14,M-1930-15,1930,group stage,Argentina,3,1,True,False,Casa
15,M-1930-16,1930,semi-finals,Argentina,6,1,True,False,Casa
16,M-1930-17,1930,semi-finals,Uruguay,6,1,True,False,Casa
17,M-1930-18,1930,final,Uruguay,4,2,True,False,Casa
18,M-1934-01,1934,round of 16,Austria,3,2,True,False,Casa
19,M-1934-02,1934,round of 16,Czechoslovakia,2,1,True,False,Casa
20,M-1934-03,1934,round of 16,Germany,5,2,True,False,Casa
21,M-1934-04,1934,round of 16,Hungary,4,2,True,False,Casa
22,M-1934-05,1934,round of 16,Italy,7,1,True,False,Casa
23,M-1934-06,1934,round of 16,Spain,3,1,True,False,Casa
24,M-1934-07,1934,round of 16,Sweden,3,2,True,False,Casa
25,M-1934-08,1934,round of 16,Switzerland,3,2,True,False,Casa
26,M-1934-09,1934,quarter-finals,Austria,2,1,True,False,Casa
27,M-1934-10,1934,quarter-finals,Czechoslovakia,3,2,True,False,Casa
28,M-1934-11,1934,quarter-finals,Germany,2,1,True,False,Casa
29,M-1934-12,1934,quarter-finals,Italy,1,1,False,True,Casa
30,M-1934-13,1934,quarter-finals,Italy,1,0,True,False,Casa
31,M-1934-14,1934,semi-finals,Czechoslovakia,3,1,True,False,Casa
32,M-1934-15,1934,semi-finals,Italy,1,0,True,False,Casa
33,M-1934-16,1934,third-place match,Germany,3,2,True,False,Casa
34,M-1934-17,1934,final,Italy,2,1,True,False,Casa
35,M-1938-01,1938,round of 16,Switzerland,1,1,False,True,Casa
36,M-1938-02,1938,round of 16,Cuba,3,3,False,True,Casa
37,M-1938-03,1938,round of 16,France,3,1,True,False,Casa
38,M-1938-04,1938,round of 16,Hungary,6,0,True,False,Casa
39,M-1938-05,1938,round of 16,Italy,2,1,True,False,Casa
40,M-1938-06,1938,round of 16,Brazil,6,5,True,False,Casa
41,M-1938-07,1938,round of 16,Czechoslovakia,3,0,True,False,Casa
42,M-1938-08,1938,round of 16,Cuba,2,1,True,False,Casa
43,M-1938-09,1938,round of 16,Switzerland,4,2,True,False,Casa
44,M-1938-10,1938,quarter-finals,Brazil,1,1,False,True,Casa
45,M-1938-11,1938,quarter-finals,Hungary,2,0,True,False,Casa
46,M-1938-12,1938,quarter-finals,Italy,3,1,True,False,Casa
47,M-1938-13,1938,quarter-finals,Sweden,8,0,True,False,Casa
48,M-1938-14,1938,quarter-finals,Brazil,2,1,True,False,Casa
49,M-1938-15,1938,semi-finals,Hungary,5,1,True,False,Casa
50,M-1938-16,1938,semi-finals,Italy,2,1,True,False,Casa
51,M-1938-17,1938,third-place match,Brazil,4,2,True,False,Casa
52,M-1938-18,1938,final,Italy,4,2,True,False,Casa
53,M-1950-01,1950,group stage,Brazil,4,0,True,False,Casa
54,M-1950-02,1950,group stage,Yugoslavia,3,0,True,False,Casa
55,M-1950-03,1950,group stage,England,2,0,True,False,Casa
56,M-1950-04,1950,group stage,Spain,3,1,True,False,Casa
57,M-1950-05,1950,group stage,Sweden,3,2,True,False,Casa
58,M-1950-06,1950,group stage,Brazil,2,2,False,True,Casa
59,M-1950-07,1950,group stage,Yugoslavia,4,1,True,False,Casa
60,M-1950-08,1950,group stage,Spain,2,0,True,False,Casa
61,M-1950-09,1950,group stage,United States,1,0,True,False,Casa
62,M-1950-10,1950,group stage,Sweden,2,2,False,True,Casa
63,M-1950-11,1950,group stage,Brazil,2,0,True,False,Casa
64,M-1950-12,1950,group stage,Chile,5,2,True,False,Casa
65,M-1950-13,1950,group stage,Spain,1,0,True,False,Casa
66,M-1950-14,1950,group stage,Italy,2,0,True,False,Casa
67,M-1950-15,1950,group stage,Uruguay,8,0,True,False,Casa
68,M-1950-16,1950,group stage,Switzerland,2,1,True,False,Casa
69,M-1950-17,1950,final round,Brazil,7,1,True,False,Casa
70,M-1950-18,1950,final round,Uruguay,2,2,False,True,Casa
71,M-1950-19,1950,final round,Brazil,6,1,True,False,Casa
72,M-1950-20,1950,final round,Uruguay,3,2,True,False,Casa
73,M-1950-21,1950,final round,Sweden,3,1,True,False,Casa
74,M-1950-22,1950,final round,Uruguay,2,1,True,False,Casa
75,M-1954-01,1954,group stage,Brazil,5,0,True,False,Casa
76,M-1954-02,1954,group stage,Yugoslavia,1,0,True,False,Casa
77,M-1954-03,1954,group stage,Austria,1,0,True,False,Casa
78,M-1954-04,1954,group stage,Uruguay,2,0,True,False,Casa
79,M-1954-05,1954,group stage,Switzerland,2,1,True,False,Casa
80,M-1954-06,1954,group stage,Hungary,9,0,True,False,Casa
81,M-1954-07,1954,group stage,West Germany,4,1,True,False,Casa
82,M-1954-08,1954,group stage,England,4,4,False,True,Casa
83,M-1954-09,1954,group stage,Uruguay,7,0,True,False,Casa
84,M-1954-10,1954,group stage,Brazil,1,1,False,True,Casa
85,M-1954-11,1954,group stage,Austria,5,0,True,False,Casa
86,M-1954-12,1954,group stage,France,3,2,True,False,Casa
87,M-1954-13,1954,group stage,Hungary,8,3,True,False,Casa
88,M-1954-14,1954,group stage,Turkey,7,0,True,False,Casa
89,M-1954-15,1954,group stage,Italy,4,1,True,False,Casa
90,M-1954-16,1954,group stage,England,2,0,True,False,Casa
91,M-1954-17,1954,group stage,West Germany,7,2,True,False,Casa
92,M-1954-18,1954,group stage,Switzerland,4,1,True,False,Casa
93,M-1954-19,1954,quarter-finals,Austria,7,5,True,False,Casa
94,M-1954-20,1954,quarter-finals,Uruguay,4,2,True,False,Casa
95,M-1954-21,1954,quarter-finals,Hungary,4,2,True,False,Casa
96,M-1954-22,1954,quarter-finals,West Germany,2,0,True,False,Casa
97,M-1954-23,1954,semi-finals,Hungary,4,2,True,False,Casa
98,M-1954-24,1954,semi-finals,West Germany,6,1,True,False,Casa
99,M-1954-25,1954,third-place match,Austria,3,1,True,False,Casa
100,M-1954-26,1954,final,West Germany,3,2,True,False,Casa
101,M-1958-01,1958,group stage,Sweden,3,0,True,False,Casa
102,M-1958-02,1958,group stage,Argentina,1,3,False,False,Casa
103,M-1958-03,1958,group stage,Northern Ireland,1,0,True,False,Casa
104,M-1958-04,1958,group stage,France,7,3,True,False,Casa
105,M-1958-05,1958,group stage,Yugoslavia,1,1,False,True,Casa
106,M-1958-06,1958,group stage,Hungary,1,1,False,True,Casa
107,M-1958-07,1958,group stage,Brazil,3,0,True,False,Casa
108,M-1958-08,1958,group stage,Soviet Union,2,2,False,True,Casa
109,M-1958-09,1958,group stage,Argentina,3,1,True,False,Casa
110,M-1958-10,1958,group stage,West Germany,2,2,False,True,Casa
111,M-1958-11,1958,group stage,Paraguay,3,2,True,False,Casa
112,M-1958-12,1958,group stage,Yugoslavia,3,2,True,False,Casa
113,M-1958-13,1958,group stage,Mexico,1,1,False,True,Casa
114,M-1958-14,1958,group stage,Brazil,0,0,False,True,Casa
115,M-1958-15,1958,group stage,Soviet Union,2,0,True,False,Casa
116,M-1958-16,1958,group stage,Sweden,2,1,True,False,Casa
117,M-1958-17,1958,group stage,Sweden,0,0,False,True,Casa
118,M-1958-18,1958,group stage,Czechoslovakia,6,1,True,False,Casa
119,M-1958-19,1958,group stage,West Germany,2,2,False,True,Casa
